year,species_code,comp_type,iss_length,region
1990,10130,female,1470.5772353839466,bs_shelf
1990,10130,male,1244.2858678459577,bs_shelf
1990,10130,total,2149.637941479691,bs_shelf
1990,10210,female,1834.4800582836297,bs_shelf
1990,10210,male,1289.7490223914124,bs_shelf
1990,10210,total,2223.836437179686,bs_shelf
1990,10285,female,1091.9263016729408,bs_shelf
1990,10285,male,677.1761536245077,bs_shelf
1990,10285,total,1323.4688417124878,bs_shelf
1990,21720,female,669.5797577154058,bs_shelf
1990,21720,male,641.6093062812532,bs_shelf
1990,21720,total,1226.340659032956,bs_shelf
1990,21740,female,1236.286790771934,bs_shelf
1990,21740,male,1058.4895554569223,bs_shelf
1990,21740,total,1410.9139149754658,bs_shelf
1991,10110,female,969.4223693984618,bs_shelf
1991,10110,male,464.9028355161424,bs_shelf
1991,10110,total,1250.9643508946558,bs_shelf
1991,10112,female,151.54501807380294,bs_shelf
1991,10112,male,177.70368465428177,bs_shelf
1991,10112,total,310.64705997082586,bs_shelf
1991,10115,female,85.86219158239743,bs_shelf
1991,10115,male,117.18756846347276,bs_shelf
1991,10115,total,204.17853771336368,bs_shelf
1991,10130,female,581.3118115629368,bs_shelf
1991,10130,male,563.6620024622625,bs_shelf
1991,10130,total,806.6551827398251,bs_shelf
1991,10210,female,2801.997174823618,bs_shelf
1991,10210,male,1787.5283281488414,bs_shelf
1991,10210,total,3445.853663410526,bs_shelf
1991,10285,female,976.5116904188932,bs_shelf
1991,10285,male,829.0728653178766,bs_shelf
1991,10285,total,1456.8241986582818,bs_shelf
1991,21720,female,967.9173105219584,bs_shelf
1991,21720,male,918.9003296545,bs_shelf
1991,21720,total,1199.7483456690693,bs_shelf
1991,21740,female,554.8804378200379,bs_shelf
1991,21740,male,635.060770708318,bs_shelf
1991,21740,total,899.2597811218361,bs_shelf
1992,10110,female,700.1147033243656,bs_shelf
1992,10110,male,342.28337692473497,bs_shelf
1992,10110,total,999.611227577196,bs_shelf
1992,10112,female,156.81916232836275,bs_shelf
1992,10112,male,143.11750693700293,bs_shelf
1992,10112,total,293.03508909055364,bs_shelf
1992,10115,female,98.50543974605208,bs_shelf
1992,10115,male,90.2506867490245,bs_shelf
1992,10115,total,177.96863828168009,bs_shelf
1992,10130,female,910.9023565904032,bs_shelf
1992,10130,male,616.3114711435811,bs_shelf
1992,10130,total,1033.9407720237605,bs_shelf
1992,10210,female,1233.4461946032798,bs_shelf
1992,10210,male,826.3473019313547,bs_shelf
1992,10210,total,1531.766741824065,bs_shelf
1992,10285,female,949.4443804428092,bs_shelf
1992,10285,male,560.6178844307054,bs_shelf
1992,10285,total,1127.2846532245262,bs_shelf
1992,21720,female,713.1095741080848,bs_shelf
1992,21720,male,768.5674178501457,bs_shelf
1992,21720,total,807.2787546883385,bs_shelf
1992,21740,female,727.8656554658975,bs_shelf
1992,21740,male,690.8418676825589,bs_shelf
1992,21740,total,777.8561660873868,bs_shelf
1993,10110,female,1294.5871309740237,bs_shelf
1993,10110,male,503.0905387369191,bs_shelf
1993,10110,total,1554.160006883356,bs_shelf
1993,10112,female,184.1148580408161,bs_shelf
