year,species_code,comp_type,ae,ae_al,al,base,bin,grwth,region
2015,21740,female,77.58859957863832,77.591778945055,297.9615204461056,360.659825519613,1cm,Annual,bs
2015,21740,male,98.71044429123998,93.08073482899655,307.60414636751926,352.39659371037936,1cm,Annual,bs
2015,21740,total,104.37576090789734,102.85066046498676,464.0392826934035,531.4211702281793,1cm,Annual,bs
2016,21740,female,124.2881524596697,117.38663364571194,284.7240996316366,332.49329793204186,1cm,Annual,bs
2016,21740,male,104.30892318675345,103.09992756666756,298.2685168954642,339.6483843149338,1cm,Annual,bs
2016,21740,total,132.31006043444194,129.70527374301838,439.59342092827023,497.93003485318786,1cm,Annual,bs
2017,21740,female,209.01842747945457,194.0512130240916,296.53990773999396,369.08184039277177,1cm,Annual,bs
2017,21740,male,222.12606693317176,218.14201324572363,323.45789115563514,387.63071118911864,1cm,Annual,bs
2017,21740,total,299.6485026243669,290.74932508760935,532.0751838125577,644.8329098894662,1cm,Annual,bs
2018,21740,female,143.5880510165642,135.5441761118626,161.3149124827082,190.2674383043336,1cm,Annual,bs
2018,21740,male,155.85196922028425,150.87654731368346,190.75754118446835,230.2972677709948,1cm,Annual,bs
2018,21740,total,193.8058457900281,189.13708348264004,230.6217769378083,262.6697453633974,1cm,Annual,bs
2019,21740,female,69.1575686924256,71.11402167305027,262.13970733263267,314.9637695112356,1cm,Annual,bs
2019,21740,male,91.6783579910546,89.0582041994717,274.39768962002046,347.18107999686964,1cm,Annual,bs
2019,21740,total,101.47776184056914,102.37160362193254,363.0805060035866,427.7353755173837,1cm,Annual,bs
2021,21740,female,102.2265489666119,92.931461470977,177.27780079435124,225.7102449146418,1cm,Annual,bs
2021,21740,male,106.88180069810537,99.67366005749466,200.07827897828236,245.8972176641147,1cm,Annual,bs
2021,21740,total,134.79977754307302,127.69483343085064,295.8832927605425,356.28286846251007,1cm,Annual,bs
2022,21740,female,154.0720193915971,141.26908161181535,219.45005932473097,268.19734668249964,1cm,Annual,bs
2022,21740,male,145.41662141344884,135.9751435320044,236.54472673162564,287.9825691144724,1cm,Annual,bs
2022,21740,total,201.4756416116676,191.03791185496604,382.7493119213218,448.4998720734152,1cm,Annual,bs
1982,21740,female,155.35716149806967,143.65822471269817,139.39673568073954,154.30756406270407,2cm,Annual,bs
1982,21740,male,117.81037113918616,110.07997092036392,121.07617346044783,131.95698821168486,2cm,Annual,bs
1982,21740,total,194.88239193234577,186.04119738375695,196.794882825708,208.2295012531727,2cm,Annual,bs
1983,21740,female,97.34082159684576,95.00146560505898,160.85108956438333,192.28143475132396,2cm,Annual,bs
1983,21740,male,70.62382676672084,65.94447083525257,145.60138711716846,172.5023424438006,2cm,Annual,bs
1983,21740,total,55.32622542293545,55.04241188859888,61.58779573546429,62.76069594660178,2cm,Annual,bs
1984,21740,female,46.66800763502069,45.55143478334279,160.61396772323022,191.40376285696303,2cm,Annual,bs
1984,21740,male,59.687567464426635,58.81984314594523,154.53885535295515,180.52871007305097,2cm,Annual,bs
1984,21740,total,65.12022959978601,64.8492709213859,279.11995568767475,319.8093086736475,2cm,Annual,bs
1985,21740,female,97.86115158070876,94.04459965154248,117.11972434456548,126.90351776692806,2cm,Annual,bs
1985,21740,male,109.32642742303624,103.57673556392716,127.10717340120624,140.03552128103053,2cm,Annual,bs
1985,21740,total,89.50626003286771,88.5658321518528,97.44831880596192,98.88143230861488,2cm,Annual,bs
1986,21740,female,118.82217074218512,110.7476235394694,141.89805268475897,160.88818719465695,2cm,Annual,bs
1986,21740,male,126.78451464278348,114.75834132707168,103.079339693902,117.53081318875834,2cm,Annual,bs
1986,21740,total,212.07857295634088,192.36851399547697,214.3514908767136,239.80550186757216,2cm,Annual,bs
1987,21740,female,54.431920717820574,52.44633819745222,151.63560529213257,173.73829734315748,2cm,Annual,bs
1987,21740,male,52.18233174411965,50.989436653791984,127.46487111649031,139.9349687936944,2cm,Annual,bs
1987,21740,total,63.733640019378186,62.50981202309669,195.25665343990815,212.51554789545813,2cm,Annual,bs
1988,21740,female,65.76997952248037,64.50949950532898,102.42241100411344,114.561959208798,2cm,Annual,bs
1988,21740,male,71.78585355172498,70.6094727724018,104.32314454830856,113.79196927251402,2cm,Annual,bs
1988,21740,total,93.05286534091285,92.56435300485612,166.23104272548102,177.71763019971044,2cm,Annual,bs
1989,21740,female,44.841322201648616,42.09619033218943,149.04075232860538,174.8855046130677,2cm,Annual,bs
1989,21740,male,46.9170918738886,45.145587638360645,126.8025271886883,154.91281399195088,2cm,Annual,bs
1989,21740,total,57.61425877099626,55.4225663758345,239.27472223464528,278.59587909366167,2cm,Annual,bs
1990,21740,female,30.010859534585062,30.877497753978183,155.4620580013795,178.4499248378547,2cm,Annual,bs
1990,21740,male,38.753045267440385,39.39694605679722,134.56077333650518,157.21178791167893,2cm,Annual,bs
1990,21740,total,49.94651737295495,50.928378691244646,221.88223747721943,255.26973419646117,2cm,Annual,bs
1991,21740,female,45.941259235794654,44.26827653287587,94.17424797256616,103.56160388799503,2cm,Annual,bs
1991,21740,male,53.543719542356754,50.93427740536759,92.72437948590918,100.70786332866514,2cm,Annual,bs
1991,21740,total,90.66779191846676,86.85250586570194,175.06508764036957,189.7327119529042,2cm,Annual,bs
1992,21740,female,83.5945343451012,80.61978050975183,99.56353161825275,107.74123076808392,2cm,Annual,bs
1992,21740,male,91.0668009632526,87.83523428982917,103.38818156028124,111.44323257500164,2cm,Annual,bs
1992,21740,total,108.47846186466896,99.92207830585096,112.78301384413378,128.38815590707262,2cm,Annual,bs
1993,21740,female,87.78062346616512,83.68469387271716,153.6833281375319,174.0051972337061,2cm,Annual,bs
1993,21740,male,111.9424591614642,101.712418588171,132.02320301110836,146.68648850811203,2cm,Annual,bs
1993,21740,total,91.04050500396627,87.76617856612764,97.4411945010916,101.00352785316576,2cm,Annual,bs
