year,species_code,comp_type,ae,ae_al,al,base,region
1991,30060,total,64.83413930259331,60.75065361450544,78.89527844096358,93.94618356880652,ai
1991,30420,female,50.95470102698963,49.447990925640866,48.046287381838546,48.87067268852231,ai
1991,30420,male,29.873810896095097,27.37048423888458,25.31503406721707,26.519144953769917,ai
1991,30420,total,61.60586717088627,58.24743246488592,59.97980168250307,59.99792596968248,ai
1994,30060,female,61.67462908335406,53.895076833883,77.64160693446875,82.74406858857813,ai
1994,30060,male,113.23421724262026,99.09201037227032,80.12459505138744,92.42508146502784,ai
1994,30060,total,133.24234269662,129.86183669488688,154.51294135981175,149.71402361944354,ai
1994,30420,female,32.72901879350728,31.935998919598067,40.608983785623415,44.53489519623406,ai
1994,30420,male,49.414154974070335,45.05587409932009,50.0150723997883,55.28444916029509,ai
1994,30420,total,54.305849482291265,50.24623778670592,68.03156673179238,79.65152547958974,ai
1997,30060,female,113.00113209335682,74.59901718949922,72.4574722912131,108.94364184461011,ai
1997,30060,male,86.22256345217043,80.92877273348259,88.15485883288729,89.36555821242645,ai
1997,30060,total,147.32801281274106,114.50198657340094,131.87350162494005,171.4373977254347,ai
